call,location,store
054-635-2717,경북 영주시 대학로 29 (휴천동),홈플러스_IF영주점 
053-327-2736,대구 북구 동암로12길 8 (동천동),홈플러스_IF칠곡점 
033-766-1201,"강원 원주시 치악로 1489 원주관설점 3층 이니스프리 (관설동,홈플러스)",홈플러스_IF원주관설점 
052-286-7742,울산 중구 번영로 475 (복산동),홈플러스_IF울산중구 
052-234-0954,울산 동구 방어진순환도로 637 외 33필지 (일산동),홈플러스_IF울산동구 
052-258-7742,울산광역시 남구 수암로 148 (야음동),홈플러스_IF울산남구 
063-242-1786,전북 전주시 덕진구 백제대로 771 (우아동3가),홈플러스_IF우아점 
062-288-1786,"전북 전주시 완산구 기린대로 170 완산점 이니스프리 (중노송동,홈플러스)",홈플러스_IF완산점 
051-522-9150,"부산 해운대구 선수촌로21번길 37 반여점 이니스프리 (반여동,홈플러스)",홈플러스_IF반여점 
054-552-0454,"경북 문경시 모전로 65 문경점 이니스프리 (모전동,홈플러스)",홈플러스_IF문경점 
02-432-7189,"서울 중랑구 사가정로 332 1층 이니스프리 (면목동,홈플러스면목점)",홈플러스_IF면목점 
055-251-1110,"경남 창원시 마산회원구 삼호로 56 마산점 3층 이니스프리 (양덕동,홈플러스)",홈플러스_IF마산점 
042-488-3327,대전 서구 문예로 107 (둔산동),홈플러스_IF둔산점 
053-985-7776,"대구 동구 동촌로 127 지하2층 (검사동,홈플러스동촌점)",홈플러스_IF동촌점 
043-214-8767,"충북 청주시 청원구 충청대로 114 동청주점 (율량동,홈플러스)",홈플러스_IF동청주점 
02-3151-0401,서울 마포구 월드컵로 240 (월드컵경기장내아모레매장) (성산동),홈플러스_IF월드컵점 
02-942-7172,서울 성북구 화랑로 76 홈플러스 월곡점 지하1층 이니스프리 (하월곡동),홈플러스_IF월곡점 
02-2672-0790,"서울특별시 영등포구 당산로 42 영등포점 이니스프리 (문래동3가,삼성홈플러스빌딩)",홈플러스_IF영등포점 
051-412-2894,"부산 영도구 대교로14번길 57 영도점 이니스프리 (봉래동2가,홈플러스)",홈플러스_IF영도점 
051-851-3534,"부산 연제구 반송로 88 연산점 이니스프리 (연산동,홈플러스)",홈플러스_IF연산점 
031-725-1272,경기 성남시 분당구 성남대로925번길 16 (야탑동),홈플러스_IF야탑점 
031-427-7217,"경기 안양시 동안구 엘에스로 76 안양점 이니스프리 (호계동,홈플러스)",홈플러스_IF안양점 
031-405-7172,"경기도 안산시 상록구 충장로 432 2층 안산점 이니스프리 (성포동,삼성홈플러스)",홈플러스_IF안산점 
031-411-1201,경기 안산시 단원구 삼일로 316 홈플러스 안산선부점 지하1층 이니스프리 (선부동),홈플러스_IF안산선부점 
054-841-7977,"경북 안동시 경동로 656 안동점 이니스프리 (운흥동,홈플러스)",홈플러스_IF안동점 
051-501-4932,"부산 연제구 종합운동장로 7 1층 아시아드점 (거제동,홈플러스)",홈플러스_IF아시아드점 
033-263-0790,강원 춘천시 김유정로 1840 홈플러스 춘천점 지하 2층 이니스프리 (퇴계동),홈플러스_IF춘천점 
043-231-5241,"충북 청주시 흥덕구 서부로 1291 청주점 이니스프리 (가경동,홈플러스)",홈플러스_IF청주점 
043-221-3312,충북 청주시 상당구 사직대로 346 (서문동),홈플러스_IF청주성안점 
043-214-8195,충북 청주시 청원구 오창읍 중심상업1로 8-11 지하1층 (양청리),홈플러스_IF오창점 
031-375-7246,"경기 오산시 청학로 238 오산점 지하 1층 이니스프리 (수청동,홈플러스)",홈플러스_IF오산점 
031-202-8186,"경기 수원시 영통구 봉영로 1576 영통점 2층 이니스프리 (영통동,홈플러스)",홈플러스_IF영통점 
031-226-4556,경기 수원시 팔달구 효원로 257 (인계동),홈플러스_IF동수원점 
051-552-0094,"부산 동래구 중앙대로 1523 지하1층 (온천동,홈플러스동래점)",홈플러스_IF동래점 
041-556-8905,충남 천안시 동남구 천안대로 574 홈플러스 천안점 지하2층 이니스프리 (구성동),홈플러스_IF천안점 
041-574-5780,"충남 천안시 동남구 신촌1길 23 천안신방점 1층 이니스프리 (신방동,홈플러스)",홈플러스_IF천안신방점 
055-237-4850,"경남 창원시 의창구 창원대로 415 창원점 이니스프리 (팔용동,삼성홈플러스)",홈플러스_IF창원점 
055-543-1153,경남 창원시 진해구 충장로 356 (이동),홈플러스_IF진해점 
031-527-7804,"경기 남양주시 진접읍 금강로 1447 지하2층 (장현리,홈플러스진접점)",홈플러스_IF진접점 
054-272-6881,"경북 포항시 북구 중흥로 328 죽도점 이니스프리 (죽도동,홈플러스)",홈플러스_IF죽도점 
042-622-8698,"대전 동구 한밭대로 1282 동대전점 지하1층 이니스프리 (용전동,홈플러스)",홈플러스_IF동대전점 
02-960-1201,서울 동대문구 천호대로 133 홈플러스 동대문점 지하1층 이니스프리 (용두동),홈플러스_IF동대문점 
062-268-1786,광주 북구 동문대로 200 (두암동),홈플러스_IF동광주점 
053-341-8349,대구 북구 중앙대로 543 (칠성동2가),홈플러스_IF대구점 
053-759-2930,"대구 수성구 유니버시아드로 140 대구스타디움점 이니스프리 (대흥동,홈플러스)",홈플러스_IF대구스타디움점 
053-622-1145,"대구 남구 대명로 116 남대구점 (대명동,홈플러스)",홈플러스_IF남대구점 
031-970-7139,"경기 고양시 덕양구 백양로 79 화정점 이니스프리 (화정동,이마트)",이마트_IF화정점 
055-322-6854,"경남 김해시 김해대로 2078 김해점 이니스프리 (내동,삼성홈플러스)",홈플러스_IF김해점 
031-987-7139,"경기 김포시 중봉로 14 김포점 내 이니스프리 (감정동,홈플러스)",홈플러스_IF김포점 
063-547-1786,"전북 김제시 금성로 114 김제점 이니스프리 (검산동,홈플러스)",홈플러스_IF김제점 
02-808-7172,서울 금천구 시흥대로 391 (독산동),홈플러스_IF금천점 
031-970-7139,"경기 고양시 덕양구 백양로 79 화정점 이니스프리 (화정동,이마트)",이마트_IF화정점 
051-746-7069,"부산 해운대구 좌동순환로 511 해운대점 이니스프리 (중동,이마트)",이마트_IF해운대점 
051-746-7069,"부산 해운대구 좌동순환로 511 해운대점 이니스프리 (중동,이마트)",이마트_IF해운대점 
02-912-1201,"서울특별시 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티)",이마트_IF하월곡점 
02-912-1201,"서울특별시 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티)",이마트_IF하월곡점 
031-791-1840,"경기 하남시 덕풍서로 70 하남점 이니스프리 (덕풍동,이마트)",이마트_IF하남점 
031-791-1840,"경기 하남시 덕풍서로 70 하남점 이니스프리 (덕풍동,이마트)",이마트_IF하남점 
031-975-8318,"경기 고양시 일산동구 무궁화로 237 풍산점 이니스프리 (중산동,이마트)",이마트_IF풍산점 
031-975-8318,"경기 고양시 일산동구 무궁화로 237 풍산점 이니스프리 (중산동,이마트)",이마트_IF풍산점 
054-274-0363,"경북 포항시 남구 냉천로 10 1층 이니스프리 (인덕동,이마트포항점)",이마트_IF포항점 
054-274-0363,"경북 포항시 남구 냉천로 10 1층 이니스프리 (인덕동,이마트포항점)",이마트_IF포항점 
031-541-8654,"경기 포천시 호국로 915 포천점 이니스프리 (설운동,이마트)",이마트_IF포천점 
031-541-8654,"경기 포천시 호국로 915 포천점 이니스프리 (설운동,이마트)",이마트_IF포천점 
031-657-8142,"경기 평택시 영신로 29 평택점 이니스프리 (지제동,이마트)",이마트_IF평택점 
031-657-8142,"경기 평택시 영신로 29 평택점 이니스프리 (지제동,이마트)",이마트_IF평택점 
055-642-7096,"경남 통영시 광도면 죽림4로 9 통영점 이니스프리 (죽림리,이마트)",이마트_IF통영점 
055-642-7096,"경남 통영시 광도면 죽림4로 9 통영점 이니스프리 (죽림리,이마트)",이마트_IF통영점 
031-911-1290,경기도 고양시 일산서구 대화동 1359 이마트 킨텍스점 2층 이니스프리,이마트_IF킨텍스점 
031-911-1290,경기도 고양시 일산서구 대화동 1359 이마트 킨텍스점 2층 이니스프리,이마트_IF킨텍스점 
043-283-6018,"충북 청주시 서원구 청남로 1853 청주점 이니스프리 (미평동,이마트)",이마트_IF청주점 
054-462-4908,"경상북도 구미시 구미대로 174 구미점 이니스프리 (광평동,홈플러스)",홈플러스_IF구미점 
053-814-3320,경북 경산시 경안로 283 홈플러스 경산점 지하 2층 이니스프리 (중방동),홈플러스_IF경산점 
063-277-1786,전북 전주시 완산구 당산로 111 이마트전주점 이니스프리 (서신동),이마트_IF전주점 
,대구광역시 달서구 진천로 92,이마트_IF월배점 
043-283-6018,"충북 청주시 서원구 청남로 1853 청주점 이니스프리 (미평동,이마트)",이마트_IF청주점 
02-472-7139,"서울 강동구 천호대로 1017 천호점 1층 이니스프리 (천호동,이마트)",이마트_IF천호점 
02-472-7139,"서울 강동구 천호대로 1017 천호점 1층 이니스프리 (천호동,이마트)",이마트_IF천호점 
041-579-9266,"충남 천안시 서북구 충무로 187 천안점 이니스프리 (쌍용동,이마트)",이마트_IF천안점 
041-579-9266,"충남 천안시 서북구 충무로 187 천안점 이니스프리 (쌍용동,이마트)",이마트_IF천안점 
041-522-3441,"충남 천안시 서북구 삼성대로 20 천안서북점 이니스프리 (백석동,이마트)",이마트_IF천안서북점 
062-951-7133,"광주 광산구 용아로 390 광주하남점 이니스프리 (하남동,홈플러스)",홈플러스_IF광주하남점 
061-795-2717,전남 광양시 항만11로 70 (중동),홈플러스_IF광양점 
051-752-0734,부산 수영구 수영로 625 홈플러스익스프레스 광안점 이니스프리 (광안동),홈플러스_IF광안점(E) 
031-410-1827,"경기 안산시 단원구 광덕대로 175 2층 이니스프리 (고잔동,홈플러스)",홈플러스_IF고잔점 
031-936-7665,"경기 고양시 일산동구 중앙로 1036 홈플러스 일산터미널점 이니스프리 (백석동,고양종합터미)",홈플러스_IF고양터미널점 
032-555-1827,"인천 계양구 오조산공원로 14 3층 1061호 (계산동,홈플러스)",홈플러스_IF계산점 
02-2668-7189,"서울 강서구 화곡로 398 강서점 이니스프리 (등촌동,홈플러스)",홈플러스_IF강서점 
033-647-7172,"강원 강릉시 경강로 2120 강릉점 이니스프리 매장 (옥천동,홈플러스)",홈플러스_IF강릉점 
02-470-6473,"서울 강동구 양재대로 1571 강동점 1층 이니스프리 (천호동,홈플러스)",홈플러스_IF강동점 
032-873-7172,"인천 남동구 경원대로 971 간석점 1층 이니스프리 (간석동,홈플러스)",홈플러스_IF간석점 
032-581-0790,"인천 서구 가정로151번길 11 1층 가좌점 이니스프리 (가좌동,홈플러스)",홈플러스_IF가좌점 
02-2658-7128,"서울 강서구 양천로 431 지하2층 (가양동,홈플러스가양점)",홈플러스_IF가양점 
063-277-1786,전북 전주시 완산구 당산로 111 이마트전주점 이니스프리 (서신동),이마트_IF전주점 
031-902-7139,"경기 고양시 일산동구 중앙로 1124 1층 일산점 이니스프리 (백석동,이마트)",이마트_IF일산점 
031-902-7139,"경기 고양시 일산동구 중앙로 1124 1층 일산점 이니스프리 (백석동,이마트)",이마트_IF일산점 
02-959-1201,"서울 동대문구 이문로 136 (이문동,이문동웰츠타워)",이마트_IF이문점 
02-959-1201,"서울 동대문구 이문로 136 (이문동,이문동웰츠타워)",이마트_IF이문점 
031-851-6803,"경기 의정부시 민락로 210 의정부점 이니스프리 (민락동,이마트)",이마트_IF의정부점 
031-851-6803,"경기 의정부시 민락로 210 의정부점 이니스프리 (민락동,이마트)",이마트_IF의정부점 
,대구광역시 달서구 진천로 92,이마트_IF월배점 
02-948-4507,"서울 노원구 마들로3길 15 월계점 이니스프리 (월계동,이마트)",이마트_IF월계점 
02-948-4507,"서울 노원구 마들로3길 15 월계점 이니스프리 (월계동,이마트)",이마트_IF월계점 
052-256-3822,"울산 남구 남중로 48 울산점 이니스프리 (삼산동,이마트)",이마트_IF울산점 
052-256-3822,"울산 남구 남중로 48 울산점 이니스프리 (삼산동,이마트)",이마트_IF울산점 
031-339-0790,경기 용인시 처인구 명지로 53 외 1필지 (역북동),이마트_IF용인점 
031-339-0790,경기 용인시 처인구 명지로 53 외 1필지 (역북동),이마트_IF용인점 
041-522-3441,"충남 천안시 서북구 삼성대로 20 천안서북점 이니스프리 (백석동,이마트)",이마트_IF천안서북점 
031-889-7639,"경기 용인시 수지구 포은대로 552 죽전점 이니스프리 (죽전동,이마트)",이마트_IF죽전점 
031-889-7639,"경기 용인시 수지구 포은대로 552 죽전점 이니스프리 (죽전동,이마트)",이마트_IF죽전점 
02-2200-1288,"서울 성동구 왕십리광장로 17 왕십리점 2층 이니스프리 (행당동,이마트)",이마트_IF왕십리점 
062-224-1786,광주 동구 무등로 314 (계림동),홈플러스_IF계림점 
042-551-0407,"충남 계룡시 계룡대로 304 계룡점 이니스프리 (금암동,홈플러스)",홈플러스_IF계룡점 
054-741-0723,"경북 경주시 공단로 97 경주점 (용강동,홈플러스)",홈플러스_IF경주점 
051-891-0271,"부산 부산진구 가야대로 506 가야점 2층 (가야동,홈플러스)",홈플러스_IF가야점 
02-371-2470,경기도 고양시 덕양구 동송로 20 (동산동) 이니스프리,하나로마트_IF삼송점 
02-352-4635,"서울 은평구 은평로 111 은평점 2층 이니스프리 (응암동,이마트)",이마트_IF은평점 
02-352-4635,"서울 은평구 은평로 111 은평점 2층 이니스프리 (응암동,이마트)",이마트_IF은평점 
02-2012-1204,서울 용산구 한강대로21나길 17 이마트 용산점 지하1층 이니스프리 (한강로3가),이마트_IF용산점 
02-2012-1204,서울 용산구 한강대로21나길 17 이마트 용산점 지하1층 이니스프리 (한강로3가),이마트_IF용산점 
02-2200-1288,"서울 성동구 왕십리광장로 17 왕십리점 2층 이니스프리 (행당동,이마트)",이마트_IF왕십리점 
031-378-7139,경기 오산시 경기대로 181 (원동),이마트_IF오산점 
031-378-7139,경기 오산시 경기대로 181 (원동),이마트_IF오산점 
051-851-4121,"부산 연제구 연수로 89 연제점 1층 이니스프리 (연산동,이마트)",이마트_IF연제점 
051-851-4121,"부산 연제구 연수로 89 연제점 1층 이니스프리 (연산동,이마트)",이마트_IF연제점 
032-811-1937,"인천 연수구 경원대로 184 연수점 이니스프리 (동춘동,이마트)",이마트_IF연수점 
031-353-6070,경기 화성시 향남읍 제약공단2길 46 (상신리),코스맥스(주) 
032-811-1937,"인천 연수구 경원대로 184 연수점 이니스프리 (동춘동,이마트)",이마트_IF연수점 
02-783-1201,"서울 영등포구 여의동로3길 10 (여의도동,여의도자이아파트)",이마트_IF여의도점 
02-783-1201,"서울 영등포구 여의동로3길 10 (여의도동,여의도자이아파트)",이마트_IF여의도점 
061-655-1786,"전남 여수시 좌수영로 277 여수점 1층 이니스프리 (오림동,이마트)",이마트_IF여수점 
061-655-1786,"전남 여수시 좌수영로 277 여수점 1층 이니스프리 (오림동,이마트)",이마트_IF여수점 
031-858-7139,"경기 양주시 평화로 1713 양주점 이니스프리 (회정동,이마트양주점)",이마트_IF양주점 
031-858-7139,"경기 양주시 평화로 1713 양주점 이니스프리 (회정동,이마트양주점)",이마트_IF양주점 
02-2155-1164,"서울 서초구 매헌로 16 양재점 이니스프리 (양재동,이마트)",이마트_IF양재점 
02-2155-1164,"서울 서초구 매헌로 16 양재점 이니스프리 (양재동,이마트)",이마트_IF양재점 
070-7746-5521,"경남 양산시 양산역6길 12 양산점 이니스프리 (중부동,이마트)",이마트_IF양산점 
070-7746-5521,"경남 양산시 양산역6길 12 양산점 이니스프리 (중부동,이마트)",이마트_IF양산점 
031-388-7418,경기도 안양시 동안구 관악대로 104 (주)리홈 안양이마트,이마트_IF안양점 
031-388-7418,경기도 안양시 동안구 관악대로 104 (주)리홈 안양이마트,이마트_IF안양점 
031-673-1376,경기 안성시 중앙로 246 (석정동),이마트_IF안성점 
031-673-1376,경기 안성시 중앙로 246 (석정동),이마트_IF안성점 
054-841-3837,"경북 안동시 옥동1길 2 안동점 이니스프리 (옥동,이마트)",이마트_IF안동점 
054-841-3837,"경북 안동시 옥동1길 2 안동점 이니스프리 (옥동,이마트)",이마트_IF안동점 
041-534-9225,충남 아산시 온천대로 1678 이마트 아산점 지하 1층 이니스프리 (풍기동),이마트_IF아산점 
041-534-9225,충남 아산시 온천대로 1678 이마트 아산점 지하 1층 이니스프리 (풍기동),이마트_IF아산점 
064-749-1336,"제주 제주시 1100로 3348 신제주점 이니스프리 (노형동,이마트)",이마트_IF신제주점 
064-749-1336,"제주 제주시 1100로 3348 신제주점 이니스프리 (노형동,이마트)",이마트_IF신제주점 
02-861-4886,서울 구로구 새말로 97 신도림점 이니스프리 (구로동),이마트_IF신도림점 
02-861-4886,서울 구로구 새말로 97 신도림점 이니스프리 (구로동),이마트_IF신도림점 
033-535-5516,"강원 동해시 천곡로 100 2층 동해점 이니스프리 (천곡동,이마트)",이마트_IF동해점 
033-535-5516,"강원 동해시 천곡로 100 2층 동해점 이니스프리 (천곡동,이마트)",이마트_IF동해점 
031-8003-0790,"경기 화성시 동탄중앙로 376 1층 동탄점 이니스프리 (석우동,이마트)",이마트_IF동탄점 
031-8003-0790,"경기 화성시 동탄중앙로 376 1층 동탄점 이니스프리 (석우동,이마트)",이마트_IF동탄점 
032-777-5508,"인천 중구 인중로 134 1층 동인천점 이니스프리 (신생동,이마트)",이마트_IF동인천점 
032-777-5508,"인천 중구 인중로 134 1층 동인천점 이니스프리 (신생동,이마트)",이마트_IF동인천점 
031-679-0832,"경기 용인시 기흥구 동백죽전대로 444 동백점 이니스프리 (중동,이마트)",이마트_IF동백점 
031-679-0832,"경기 용인시 기흥구 동백죽전대로 444 동백점 이니스프리 (중동,이마트)",이마트_IF동백점 
054-471-6818,"경북 구미시 이계북로 23 동구미점 이니스프리 (임수동,이마트)",이마트_IF동구미점 
054-471-6818,"경북 구미시 이계북로 23 동구미점 이니스프리 (임수동,이마트)",이마트_IF동구미점 
055-835-3577,"경남 사천시 삼천포대교로 591 사천점 이니스프리 (좌룡동,이마트)",이마트_IF사천점 
055-835-3577,"경남 사천시 삼천포대교로 591 사천점 이니스프리 (좌룡동,이마트)",이마트_IF사천점 
032-528-7173,"인천 부평구 주부토로 241 부평점 이니스프리 (갈산동,이마트)",이마트_IF부평점 
032-528-7173,"인천 부평구 주부토로 241 부평점 이니스프리 (갈산동,이마트)",이마트_IF부평점 
032-611-5480,"경기 부천시 소사구 부천로 1 부천점 이니스프리 (심곡본동,이마트)",이마트_IF부천점 
032-611-5480,"경기 부천시 소사구 부천로 1 부천점 이니스프리 (심곡본동,이마트)",이마트_IF부천점 
062-676-1786,"광주 남구 봉선로 198 봉선점 이니스프리 (봉선동,이마트)",이마트_IF봉선점 
062-676-1786,"광주 남구 봉선로 198 봉선점 이니스프리 (봉선동,이마트)",이마트_IF봉선점 
031-572-7767,"경기 남양주시 순화궁로 167 별내점 이니스프리 (별내동,이마트)",이마트_IF별내점 
031-572-7767,"경기 남양주시 순화궁로 167 별내점 이니스프리 (별내동,이마트)",이마트_IF별내점 
031-278-7359,"경기 수원시 권선구 수인로 291 2층 서수원점 이니스프리 (구운동,이마트)",이마트_IF서수원점 
053-961-3190,"대구 동구 안심로 389-2 반야월점 이니스프리 (신서동,이마트)",이마트_IF반야월점 
031-558-7139,경기 남양주시 도농로 24 이마트 도농점 지하 1층 이니스프리 (도농동),이마트_IF도농점 
031-278-7359,"경기 수원시 권선구 수인로 291 2층 서수원점 이니스프리 (구운동,이마트)",이마트_IF서수원점 
064-738-9138,"제주 서귀포시 일주동로 9209 서귀포점 이니스프리 (법환동,이마트)",이마트_IF서귀포점 
064-738-9138,"제주 서귀포시 일주동로 9209 서귀포점 이니스프리 (법환동,이마트)",이마트_IF서귀포점 
02-435-5508,"서울 중랑구 상봉로 118 1층 이니스프리 (망우동,이마트상봉점)",이마트_IF상봉점 
02-435-5508,"서울 중랑구 상봉로 118 1층 이니스프리 (망우동,이마트상봉점)",이마트_IF상봉점 
062-381-1786,"광주 서구 운천로 263 1층 이니스프리 (치평동,이마트상무점)",이마트_IF상무점 
053-961-3190,"대구 동구 안심로 389-2 반야월점 이니스프리 (신서동,이마트)",이마트_IF반야월점 
051-631-9426,"부산 남구 전포대로91번길 47 문현점 이니스프리 (문현동,이마트)",이마트_IF문현점 
051-631-9426,"부산 남구 전포대로91번길 47 문현점 이니스프리 (문현동,이마트)",이마트_IF문현점 
061-285-1786,전남 목포시 옥암로 138 (옥암동),이마트_IF목포점 
061-285-1786,전남 목포시 옥암로 138 (옥암동),이마트_IF목포점 
055-221-7859,"경남 창원시 마산합포구 서성로 3 마산점 이니스프리 (중앙동3가,이마트)",이마트_IF마산점 
031-558-7139,경기 남양주시 도농로 24 이마트 도농점 지하 1층 이니스프리 (도농동),이마트_IF도농점 
055-321-3243,"경상남도 김해시 전하로304번길 24 (외동), 이마트 김해점 2층 이니스프리",이마트_IF김해점 
055-321-3243,"경상남도 김해시 전하로304번길 24 (외동), 이마트 김해점 2층 이니스프리",이마트_IF김해점 
031-986-7172,경기 김포시 김포한강7로 71 이마트 김포한강점 지하1층 이니스프리 (구래동),이마트_IF김포한강점 
031-986-7172,경기 김포시 김포한강7로 71 이마트 김포한강점 지하1층 이니스프리 (구래동),이마트_IF김포한강점 
051-583-5813,부산 금정구 중앙대로1841번길 24 금정점 이니스프리 (구서동),이마트_IF금정점 
051-583-5813,부산 금정구 중앙대로1841번길 24 금정점 이니스프리 (구서동),이마트_IF금정점 
031-261-2932,경기도 용인시 수지구 수지로 203 1층,이마트_IF수지점 
062-381-1786,"광주 서구 운천로 263 1층 이니스프리 (치평동,이마트상무점)",이마트_IF상무점 
031-391-2987,"경기 군포시 산본로 347 산본점 이니스프리 (산본동,이마트)",이마트_IF산본점 
031-391-2987,"경기 군포시 산본로 347 산본점 이니스프리 (산본동,이마트)",이마트_IF산본점 
055-221-7859,"경남 창원시 마산합포구 서성로 3 마산점 이니스프리 (중앙동3가,이마트)",이마트_IF마산점 
042-472-8711,"대전 서구 둔산북로 41 둔산점 이니스프리 (둔산동,이마트)",이마트_IF둔산점 
042-472-8711,"대전 서구 둔산북로 41 둔산점 이니스프리 (둔산동,이마트)",이마트_IF둔산점 
054-462-5444,"경북 구미시 구미대로 256 구미점 이니스프리 (광평동,이마트)",이마트_IF구미점 
054-462-5444,"경북 구미시 구미대로 256 구미점 이니스프리 (광평동,이마트)",이마트_IF구미점 
031-261-2932,경기도 용인시 수지구 수지로 203 1층,이마트_IF수지점 
031-267-7280,"경기 수원시 권선구 경수대로 270 수원점 이니스프리 (권선동,이마트)",이마트_IF수원점 
031-267-7280,"경기 수원시 권선구 경수대로 270 수원점 이니스프리 (권선동,이마트)",이마트_IF수원점 
02-376-1201,"서울 은평구 수색로 217 수색점 이니스프리 (수색동,이마트)",이마트_IF수색점 
02-376-1201,"서울 은평구 수색로 217 수색점 이니스프리 (수색동,이마트)",이마트_IF수색점 
044-862-3279,"세종 금송로 687 세종점 이니스프리 (가람동,이마트)",이마트_IF세종점 
044-862-3279,"세종 금송로 687 세종점 이니스프리 (가람동,이마트)",이마트_IF세종점 
02-469-8203,"서울 성동구 뚝섬로 379 성수점 이니스프리 (성수동2가,이마트)",이마트_IF성수점 
02-469-8203,"서울 성동구 뚝섬로 379 성수점 이니스프리 (성수동2가,이마트)",이마트_IF성수점 
